"run","all_cause_isolation","susceptibility","handHygieneIntervention","transferFractionRandom","importationSurge","isolateOnSuspicion","decayRate","extra_samples","randomSeed","ppeIsolationAdherenceProb","terminalRoomCleaning","output_event_file","scenario","surfaceTransferFraction","postVisitCleaning","roomCleaningEfficacy","universalPpe","surveillanceSensitivity","surveillance","ppeEfficacy","surveillanceSpecificity","decayRandom"
817,0.2,0.0045,0.0,1,0.0,0,0.5317963371053338,816,-798877488,0.6,0.8,"false",0,0.18166423123329878,0,0.5,"false",0.95,"false",0.9,0.7,1
833,0.2,0.0045,0.0,1,0.0,0,0.9927042180206627,832,-798735112,0.6,0.8,"false",0,0.4102616442833096,0,0.5,"false",0.95,"false",0.9,0.7,1
849,0.2,0.0045,0.0,1,0.0,0,0.1260770559310913,848,-798581215,0.6,0.8,"false",0,0.18379614129662514,0,0.5,"false",0.95,"false",0.9,0.7,1
865,0.2,0.0045,0.0,1,0.0,0,0.9353243152145296,864,-798408615,0.6,0.8,"false",0,0.29444178799167275,0,0.5,"false",0.95,"false",0.9,0.7,1
881,0.2,0.0045,0.0,1,0.0,0,0.8306968505494297,880,-798268287,0.6,0.8,"false",0,0.7352070745546371,0,0.5,"false",0.95,"false",0.9,0.7,1
897,0.2,0.0045,0.0,1,0.0,0,0.5388748978730291,896,-798120389,0.6,0.8,"false",0,0.5890645044855773,0,0.5,"false",0.95,"false",0.9,0.7,1
913,0.2,0.0045,0.0,1,0.0,0,0.19078052090480924,912,-797917646,0.6,0.8,"false",0,0.6752168883103877,0,0.5,"false",0.95,"false",0.9,0.7,1
929,0.2,0.0045,0.0,1,0.0,0,0.07798954285681248,928,-797685280,0.6,0.8,"false",0,0.4868101398460567,0,0.5,"false",0.95,"false",0.9,0.7,1
945,0.2,0.0045,0.0,1,0.0,0,0.3170148432254791,944,-797428785,0.6,0.8,"false",0,0.1776938820257783,0,0.5,"false",0.95,"false",0.9,0.7,1
961,0.2,0.0045,0.0,1,0.0,0,0.3624360663816333,960,-797262156,0.6,0.8,"false",0,0.9401495289057493,0,0.5,"false",0.95,"false",0.9,0.7,1
977,0.2,0.0045,0.0,1,0.0,0,0.22906884225085378,976,-797039136,0.6,0.8,"false",0,0.9910917484667152,0,0.5,"false",0.95,"false",0.9,0.7,1
993,0.2,0.0045,0.0,1,0.0,0,0.2591898024547845,992,-796798099,0.6,0.8,"false",0,0.4220028545241803,0,0.5,"false",0.95,"false",0.9,0.7,1
15,0.2,0.0045,0.0,1,0.0,0,0.11009452282451093,14,-808806711,0.6,0.8,"false",0,0.022459394996985793,0,0.5,"false",0.95,"false",0.9,0.7,1
31,0.2,0.0045,0.0,1,0.0,0,0.4437943212687969,30,-808705434,0.6,0.8,"false",0,0.7972270690370351,0,0.5,"false",0.95,"false",0.9,0.7,1
47,0.2,0.0045,0.0,1,0.0,0,0.23290293640457094,46,-808473374,0.6,0.8,"false",0,0.8856595370452851,0,0.5,"false",0.95,"false",0.9,0.7,1
63,0.2,0.0045,0.0,1,0.0,0,0.8784865811467171,62,-808227973,0.6,0.8,"false",0,0.8052237040828913,0,0.5,"false",0.95,"false",0.9,0.7,1
79,0.2,0.0045,0.0,1,0.0,0,0.9159158002585173,78,-808034574,0.6,0.8,"false",0,0.5994656961411238,0,0.5,"false",0.95,"false",0.9,0.7,1
95,0.2,0.0045,0.0,1,0.0,0,0.3080042917281389,94,-807839598,0.6,0.8,"false",0,0.10946879466064274,0,0.5,"false",0.95,"false",0.9,0.7,1
111,0.2,0.0045,0.0,1,0.0,0,0.6303468642290682,110,-807693032,0.6,0.8,"false",0,0.9212179330643266,0,0.5,"false",0.95,"false",0.9,0.7,1
127,0.2,0.0045,0.0,1,0.0,0,0.07487480528652668,126,-807493057,0.6,0.8,"false",0,0.44894275930710137,0,0.5,"false",0.95,"false",0.9,0.7,1
143,0.2,0.0045,0.0,1,0.0,0,0.4594780358020216,142,-807248655,0.6,0.8,"false",0,0.4968526510056108,0,0.5,"false",0.95,"false",0.9,0.7,1
159,0.2,0.0045,0.0,1,0.0,0,0.9899897563736886,158,-807035857,0.6,0.8,"false",0,0.08368556294590235,0,0.5,"false",0.95,"false",0.9,0.7,1
175,0.2,0.0045,0.0,1,0.0,0,0.16431858902797103,174,-806906631,0.6,0.8,"false",0,0.5317172328941524,0,0.5,"false",0.95,"false",0.9,0.7,1
191,0.2,0.0045,0.0,1,0.0,0,0.2742803068831563,190,-806685280,0.6,0.8,"false",0,0.47314959671348333,0,0.5,"false",0.95,"false",0.9,0.7,1
207,0.2,0.0045,0.0,1,0.0,0,0.7965919459238648,206,-806455019,0.6,0.8,"false",0,0.7255902367178351,0,0.5,"false",0.95,"false",0.9,0.7,1
223,0.2,0.0045,0.0,1,0.0,0,0.5694968465249985,222,-806283754,0.6,0.8,"false",0,0.0979695157147944,0,0.5,"false",0.95,"false",0.9,0.7,1
239,0.2,0.0045,0.0,1,0.0,0,0.6696674628183246,238,-806134008,0.6,0.8,"false",0,0.5313662092667073,0,0.5,"false",0.95,"false",0.9,0.7,1
255,0.2,0.0045,0.0,1,0.0,0,0.4493884213734418,254,-805947666,0.6,0.8,"false",0,0.6027951950673014,0,0.5,"false",0.95,"false",0.9,0.7,1
271,0.2,0.0045,0.0,1,0.0,0,0.16826703352853656,270,-805731029,0.6,0.8,"false",0,0.6416447649244219,0,0.5,"false",0.95,"false",0.9,0.7,1
287,0.2,0.0045,0.0,1,0.0,0,0.18481789669021964,286,-805491569,0.6,0.8,"false",0,0.1390771698206663,0,0.5,"false",0.95,"false",0.9,0.7,1
303,0.2,0.0045,0.0,1,0.0,0,0.6660764664411545,302,-805333109,0.6,0.8,"false",0,0.33899307320825756,0,0.5,"false",0.95,"false",0.9,0.7,1
319,0.2,0.0045,0.0,1,0.0,0,0.8319829236716032,318,-805176013,0.6,0.8,"false",0,0.9171000567730516,0,0.5,"false",0.95,"false",0.9,0.7,1
335,0.2,0.0045,0.0,1,0.0,0,0.09528407477773726,334,-804974829,0.6,0.8,"false",0,0.0931727874558419,0,0.5,"false",0.95,"false",0.9,0.7,1
351,0.2,0.0045,0.0,1,0.0,0,0.7217778153717518,350,-804814806,0.6,0.8,"false",0,0.8285984883550555,0,0.5,"false",0.95,"false",0.9,0.7,1
367,0.2,0.0045,0.0,1,0.0,0,0.5187029195949435,366,-804651453,0.6,0.8,"false",0,0.4503256995230913,0,0.5,"false",0.95,"false",0.9,0.7,1
383,0.2,0.0045,0.0,1,0.0,0,0.6886954351793975,382,-804451125,0.6,0.8,"false",0,0.2517225672490895,0,0.5,"false",0.95,"false",0.9,0.7,1
399,0.2,0.0045,0.0,1,0.0,0,0.07501243147999048,398,-804299040,0.6,0.8,"false",0,0.23338399501517415,0,0.5,"false",0.95,"false",0.9,0.7,1
415,0.2,0.0045,0.0,1,0.0,0,0.8602007280569524,414,-804095570,0.6,0.8,"false",0,0.34689757134765387,0,0.5,"false",0.95,"false",0.9,0.7,1
431,0.2,0.0045,0.0,1,0.0,0,0.32010578410699964,430,-803934488,0.6,0.8,"false",0,0.5258895752485842,0,0.5,"false",0.95,"false",0.9,0.7,1
